prices,Address,Beds
"€495,000"," 14 CIAN PARK, Drumcondra, Dublin 9",3 beds
"€475,000"," 52 Oldfield, Kingston, Galway",3 beds
"€265,000"," Ballykeeffe, Ballycallan, Kilkenny",3 beds
"€745,000"," 14 Sandyford Hall Park, Sandyford, Dublin 18",4 beds
"€380,000"," 16 Strangford Road, East Wall, Dublin 3",3 beds
"€750,000"," Churchfields, Ballyvaltron, Kilbride, Wicklow",4 beds
"€475,000"," 7 The Mews, Robswall, Malahide, Dublin",2 beds
"€525,000"," 2 Mulvey Park, Dundrum, Dublin 14",3 beds
"€1,400,000"," Cullenswood Lodge, 12 Richmond Avenue South, Dartry, Dublin 6",3 beds
"€349,000"," Kilmisten,Ardcavan,Co Wexford,Y35HP90",4 beds
"€290,000"," 31 The Belfry,Trim,Co Meath,C15 T9F9",3 beds
"€525,000"," 35 Merrion Strand,Sandymount,Dublin 4,D04 P2P4",2 beds
"€550,000"," 23 Delaford Park, Knocklyon, Dublin 16",3 beds
"€685,000"," 39 Grattan Park,Salthill,Galway,H91 EWR6",4 beds
"€495,000"," 15 Eglinton Wood, Eglinton Road, Donnybrook, Dublin 4  D04 RX72",2 beds
"€795,000"," 7 Dunville Avenue, Ranelagh, Dublin 6",3 beds
"€269,500"," 32 Park View,Clane,Co Kildare,W91 R9Y6",3 beds
"€149,000"," Ballygawley,Co. Sligo,F91WY45",2 beds
"€325,000"," Allenview, Allenwood, ., Naas, Co. Kildare",3 beds
"€350,000"," Ardagh, Ballina, Mayo",5 beds
"€170,000"," 4 Shanid Gardens, Shanagolden, Limerick",3 beds
"€895,000"," 12 St Gabriels, Johnstown Road, Cabinteely, Dublin 18",5 beds
"€500,000"," 31 Edmondstown Green, Rathfarnham, Dublin 16",3 beds
"€158,950"," 19 Dooleys Terrace,Athy,Co Kildare,R14 PA07",2 beds
"€550,000"," Residence at Castlepoint , Schull,   West Cork",4 beds
"€440,000"," Dunlough,Robinstown,Co Meath,C15 FV08",4 beds
"€395,000"," 13 Fernleigh Close, Castleknock, Dublin 15",3 beds
"€325,000"," 100 Northway Estate, Finglas, Dublin 11",3 beds
"€285,000"," 40 Main Street, Drimoleague,   West Cork",5 beds
"€145,000"," 10 Clement Court. Lough Rynn , Mohill, Leitrim",4 beds
"€215,000"," 58 O Molloy Street,Tullamore,Co Offaly,R35P791",4 beds
"€825,000"," 2 Seafield Close, Blackrock, County Dublin",4 beds
"€420,000"," 1 The Rath,Sandyhill,Rolestown,Co. Dublin,K67 CD37",3 beds
"€400,000"," Sleepy Hollow,Wood Road,Cratloe,Co Clare,V95 W0V5",4 beds
"€595,000"," 13 Templeroan Court, Rathfarnham, Dublin 16",3 beds
"€1,100,000"," Hanover, 69 Churchtown Road Upper, Churchtown, Dublin 14",5 beds
"€385,000"," Elderfield,Castletown,Co. Laois,R32V6RE",4 beds
"€495,000"," Coolkirky,Riverstick,Kinsale,Co Cork,P43 PC85",5 beds
"€235,000"," Hillcrest, 2 The Paddock, Newtown, Ballynoe, Co. Cork",3 beds
"€745,000"," 5 Annamoe Road, North Circular Road, Dublin 7",4 beds
"€1,100,000"," Chicane, Mullinastill Road, Rathmichael, Dublin 18",4 beds
"€1,175,000"," 4 Woodside, Clontarf, Dublin 3",4 beds
"€229,000"," 32 Coolraine Heights, Old Cratloe Road, Limerick City, Limerick",3 beds
"€330,000"," Aughnaseda,Monaghan,Co. Monaghan,H18 X339",4 beds
"€355,000"," 40 Cairnsfort, Golf Links Road, Castletroy, Limerick",4 beds
"€310,000"," 2 Fisherman`s Rest, Higher O`Connell Street, Kinsale, Co. Cork",3 beds
"€347,500"," 12 Rialto Street, Rialto,   Dublin 8",3 beds
"€890,000"," Ard Caoin,Manorhamilton Road,Sligo,F91P6P8",5 beds
"€270,000"," Garryduff,Templeboy,Co. Sligo,F91YF97",5 beds
"€325,000"," 54 Cragaun, Father Russell Road, Limerick, Dooradoyle, Co. Limerick",4 beds
"€395,000"," 32 Whitechurch View, Rathfarnham, Dublin 16",3 beds
"€430,000"," 127 The Grove,Celbridge,Co. Kildare,W23 X529",4 beds
"€925,000"," The Sheldon, The Gallops, Clonee, Meath",5 beds
"€425,000"," 20 Botanic Road, Glasnevin, Dublin 9",3 beds
"€285,000"," 124 Meadow Gate,Gorey,Co. Wexford,Y25 X9W2",3 beds
"€250,000"," 16 Ard Lios,Gorey,Co. Wexford,Y25WP59",3 beds
"€1,495,000"," 124 Leeson Street Upper, Donnybrook,   Dublin 4",4 beds
"€165,000"," 4 Riverview, Chapelstown Gate, Tullow Road, Carlow Town, Carlow",3 beds
"€95,000"," Kilmurry, Castlerea, Co. Roscommon",2 beds
"€364,950"," 147 Aulden Grange, Santry, Dublin 9",3 beds
"€379,000"," 2 Whitworth Avenue, Drumcondra, Dublin 3",2 beds
"€185,000"," 6 Ballin Ri, Tullamore, Co. Offaly",2 beds
"€595,000"," 147 Charlemont, Griffith Avenue, Drumcondra, Dublin 9",4 beds
"€349,950"," 8b Magenta Crescent, Santry, Dublin 9",3 beds
"€535,000"," 143 Old Finglas Road, Glasnevin, Dublin 11",3 beds
"€374,950"," 2 Old Town Road, Santry, Dublin 9",3 beds
"€355,000"," 49 Knocknacarra Park, Galway, Knocknacarra, Co. Galway",3 beds
"€2,650,000"," Abbotsford,Brighton Road,Foxrock,Dublin 18,D18 P2C3",5 beds
"€795,000"," 1 The Heath, Circular Road, Bushypark, Galway City",5 beds
"€725,000"," 16 Fairhaven Road, Castleknock, Dublin 15",4 beds
"€210,000"," 5 Carraig Abhainn, Ballisodare, Sligo",3 beds
"€500,000"," 10 Barnwell Grove, Hansfield, Clonsilla,   Dublin 15",4 beds
"€220,000"," 115 Rathedmond, Sligo City, Sligo",5 beds
"€625,000"," 1 Newtown Clarke Cottage, Old Lucan Road, Palmerstown, Dublin 20",3 beds
"€695,000"," 55 Beech Drive, Dundrum, Dublin 14",5 beds
"€120,000"," 23 Carrowmore Meadows, Carrowmore, Knock, Mayo",4 beds
"€370,000"," 30 Newtown Drive, Ayrfield, Dublin 13",3 beds
"€299,000"," 37 Mount Olive Park, Kilbarrack, Dublin 5",3 beds
"€395,000"," 6 Chanel Avenue, Artane, Dublin 5",3 beds
"€480,000"," 15 Brookwood Drive, Artane, Dublin 5",3 beds
"€265,000"," 15 Sheephill Green, Blanchardstown, Dublin 15",4 beds
"€425,000"," 13 COOLATREE CLOSE, Beaumont,   Dublin 9",4 beds
"€850,000"," 40, 42 The Stiles Road, Clontarf, Dublin 3",6 beds
"€499,000"," 221 Swords Road, Santry, Dublin 9",3 beds
"€140,000"," 1 Convent Street, Limerick City, Limerick",3 beds
"€550,000"," 102 IVERAGH ROAD, Whitehall, Dublin 9",3 beds
"€565,000"," Derry Quay, Cross, Co Mayo, Cross, Mayo",6 beds
"€1,250,000"," 5 Knocklyon Avenue, Knocklyon, Dublin 16",6 beds
"€625,000"," 344 South Circular Road, Dolphins Barn,   Dublin 8",4 beds
"€250,000"," 13 Bellgree Rise, Tyrrelstown, Dublin 15",2 beds
"€250,000"," 3 Mount Garrett Crescent  , Tyrrelstown, Dublin 15",2 beds
"€550,000"," 116 Heathervue, Greystones, Co. Wicklow",3 beds
"€400,000"," The Elms, Drinagh, Wexford Town, Wexford",8 beds
"€349,000"," Tory View,Ryleen,New Ross,Co. Wexford",4 beds
"€170,000"," Bridgeview, Urlingford, Kilkenny",1161ft 2
"€300,000"," 41 Beechwood Downs, Clonsilla, Dublin 15",3 beds
"€495,000"," 34 Steeplechase Wood,Ratoath,Co Meath,A85 WD35",4 beds
"€580,000"," 21 Milltown Road,Ashbourne,Co Meath,A84 P786",4 beds
"€415,000"," 1 Camden Buildings, Portobello, South City Centre, Dublin 2",3 beds
"€399,000"," 4 Victoria Terrace, Dundrum, Dublin 14",2 beds
"€240,000"," 133 Forest Park, Ballymakenny Road, Drogheda, Co. Louth",3 beds
"€520,000"," Hamilton Heights, Blackrock, Louth",4 beds
"€125,000"," Pollranny, Castleplunkett, Roscommon",3 beds
"€695,000"," 18 Ryemont Abbey, Leixlip, Kildare",5 beds
"€190,000"," 8 Kilbride Close, Kilbride Gardens, Clara, Co. Offaly",3 beds
"€1,175,000"," 3 Carrickmines Dale, Carrickmines, Dublin D18 K7W3",5 beds
"€825,000"," 5 Blackheath Avenue, Clontarf, Dublin 3",4 beds
"€850,000"," 17 Meadowfields, Sandyford,   Dublin 18",5 beds
"€275,000"," 52 Castleview, Dunboyne, Meath",3 beds
"€1,350,000"," 27 Frascati Park,Blackrock,Co Dublin,A94 V9X3",4 beds
"€485,000"," 3 Cherryfield, Monaleen, Castletroy, Limerick",5 beds
"€325,000"," Murrintown Upper, Co. Wexford, Murrintown, Wexford",3 beds
"€645,000"," Lynton, 5 Roseville Terrace, Dundrum Road, Dublin 14, Dublin",4 beds
"AMV €200,000 "," Ardeevin, Tulsk, Castlerea, Co. Roscommon",4 beds
"€250,000"," 93 Beech Park, Ballincollig, Cork",3 beds
"€395,000"," 13 St Finbar's Road, Cabra, Dublin 7",3 beds
"€340,000"," 340 Riverforest, Leixlip, Kildare",3 beds
"€285,000"," 220 Griffin Rath Hall, Maynooth, Kildare",3 beds
"€240,000"," 10 Golden Ridge Lodge, Rush, Dublin",2 beds
"€149,500"," No. 34 Barrack Street, Wexford Town, Wexford",4 beds
"€595,000"," 10 Hillview Cottages, Pottery Road, Glenageary, County Dublin",3 beds
"€350,000"," 102 Springdale Road, Raheny, Dublin 5",3 beds
"€200,000"," 1 Slievardagh, Grangemockler, Carrick-on-Suir, Co. Tipperary",4 beds
"€319,950"," 20 St. Edmund's Park, Lucan, County Dublin",3 beds
"€570,000"," 1 Diswellstown Chase, Castleknock, Dublin 15",3 beds
"€319,000"," The Primrose, Linenfield, Ballymakenny Road, Drogheda, Co. Louth, Drogheda, Louth",3 beds
"€740,000"," 60 Leinster Park, Harold's Cross,   Dublin 6W",4 beds
"€259,950"," 73 Red Arches Avenue, Baldoyle, Dublin 13",2 beds
"€198,000"," 10 Rann Mor Walk, Letterkenny, Donegal",4 beds
"€299,000"," 43 Fforster Lawn,Lucan,Co. Dublin.,K78 PX30",2 beds
"€389,950"," 56 Glentow Road, Whitehall, Dublin 9",3 beds
"€850,000"," Ceann Mara, Blackrock Road, Blackrock, Cork",5 beds
"AMV €950,000 "," Ballycurrin Demesne, Ower, Claremorris, Mayo",4 beds
"€275,000"," The Presbytery, Burnfort, Mallow, Cork",3 beds
"€395,000"," 138 Mountainview Park, Churchtown, Dublin 14",4 beds
"€475,000"," 4 Ballinteer Gardens, Ballinteer, Dublin 16",3 beds
"€249,000"," 54 Belfry Grove, Citywest, County Dublin",3 beds
"€255,000"," 11 Gleann Dara Green, Grenagh, Cork",3 beds
"€1,350,000"," 1A Percy Lane,Ballsbridge,Dublin 4,D04 FK51",3 beds
"€275,000"," 11 Kearns Place,Kilmainham,Dublin 8,D08 HX2P",2 beds
"€299,000"," 48 Rialto Cottages,Rialto,Dublin 8,D08 DT9H",1 bed
"€425,000"," 1 St Davids Terrace, Blackhorse Avenue, North Circular Road, Dublin 1",4 beds
"€495,000"," 13 Stella Avenue, Drumcondra, Dublin 3",3 beds
"€295,000"," Derrynakilla, Coomhola, Bantry,   West Cork",4 beds
"€430,000"," Lilac Cottage, Ballymitty, Wexford",3 beds
"€195,000"," Lissavruggy, Newbridge, Co. Galway",4 beds
"€320,000"," Hollymount, Bo Choill Road, Co. Laois, Ireland, Carlow Town, Carlow",2 beds
"€570,000"," Mary Mount, Emmet Place, Youghal, East Cork",6 beds
"€298,000"," 1 Park Terrace, Cobh, Cobh, Cork",2 beds
"€629,950"," 90A St Peter's Terrace, Howth, County Dublin, D13 F2W8",3 beds
"€295,000"," 8 Liffey Mill Avenue, Athgarvan, Newbridge, Kildare",3 beds
"€365,000"," 24 Rowan Hill Mount Oval Village, Rochestown, Cork City",3 beds
"€255,000"," 3 Cardy Rock Road, Balbriggan, County Dublin",3 beds
"€395,000"," 58 Clover Hill,Bray,Wicklow,A98 P9Y6",3 beds
"€415,000"," 110 Wheatfield,Boghall Road,Bray,Co. Wicklow,A98 EK88",3 beds
"€420,000"," 28 Saran Wood,Killarney Road,Bray,Wicklow,A98 X732",3 beds
"€785,000"," Cragmoher House,Cragmoher,Corofin,Co Clare,V95W9K6",5 beds
"€2,300,000"," 17 Herbert Park,Ballsbridge,Dublin 4,D04 K7E5",6 beds
"€289,000"," 26, 27, 28, 29 Corr An Tobhair, Ballybay Road, Carrickmacross, Co. Monaghan",4 beds
"€300,000"," 132 Kilworth Road, Drimnagh, Dublin 12",3 beds
"€360,000"," 3 St Edmunds Park, Lucan, Dublin",3 beds
"€350,000"," 90 Drumfinn Road, Ballyfermot,   Dublin 10",2 beds
"€375,000"," 45 Calderwood Drive, Donnybrook,, Douglas, Cork",4 beds
"€275,000"," 54 Castlewood, Little Island, Cork",4 beds
"€1,695,000"," Dun A Rí,1 Rathmichael Hill,Rathmichael Road,Rathmichael,Co Dublin",5 beds
"€250,000"," Eagle House, Main Street, Hacketstown, Carlow",4 beds
"€275,000"," Donegal Road, Ballybofey, Donegal",5 beds
"€945,000"," 'Woodbine Lodge', Woodbine Road, Booterstown, County Dublin",3 beds
"€645,000"," 11 Acorn Road, Dundrum, Dublin 16",3 beds
"€425,000"," 8 Temple Court, Palatine Square, Stoneybatter, Dublin 7",2 beds
"€515,000"," Ballintine , Kilmeage, Kildare",5 beds
"€150,000"," Main Street, Castleconnell, Co. Limerick",4 beds
"€395,000"," 75 Moulden Bridge,Ratoath,Co Meath,A85 N935",4 beds
"€200,000"," 1 Raiskeen Place, Clonmellon, Co Westmeath",3 beds
"€139,000"," 52 An Duiche,Tipperary,Co. Tipperary,E34 C568",3 beds
"€245,000"," 56 Main Street, Applewood Village, Swords, Dublin",2 beds
"€285,000"," 23 Chapel Avenue, Balbriggan, County Dublin",4 beds
"€325,000"," 4 Cul Ronain Park, Ballivor, Meath",4 beds
"€382,500"," Greenbrook, Brooklane, Rush, Co. Dublin, Rush, County Dublin",3 beds
"€275,000"," 7 Deerpark Way, Kiltipper, Tallaght, Dublin 24",3 beds
"€360,000"," 71 Castle Park, Clondalkin, Dublin 22",3 beds
"€320,000"," 6 Castle Park, Piercestown, Wexford",4 beds
"€660,000"," ""Glencar"" 36 Weston Road, Churchtown, Dublin 14",3 beds
"€895,000"," 37 Cherrygarth, Mount Merrion, Co. Dublin",3 beds
"€695,000"," 76 Mount Albany, Blackrock, County Dublin",3 beds
"€850,000"," 17 The Rise, Barnhill Road, Dalkey, Co. Dublin",4 beds
"€799,000"," 22 Hollywood Drive, Goatstown, Dublin 14",3 beds
"€1,400,000"," 102 Upper Leeson Street, Donnybrook, Dublin 4",3 beds
"€385,000"," 41 Red Arches Park, Baldoyle, Dublin 13",3 beds
"€335,000"," 2 Tara Hill Crescent, Rathfarnham, Dublin 14",3 beds
"€285,000"," 182 Kildare Road, Crumlin, Dublin 12",2 beds
"€335,000"," 16 McKee Road, Finglas, Dublin 11",3 beds
"€650,000"," Carrick, Edenderry, Offaly",5 beds
"€245,000"," 15 Corduff Way, Blanchardstown, Dublin 15, D15 YP5N",3 beds
"€245,000"," 121 Parkview, Verdemont, Blanchardstown, Dublin 15",2 beds
"€1,475,000"," 1 Montclare Claremont Road, Killiney, County Dublin",5 beds
"€395,000"," 136 Oliver Plunkett Avenue, Irishtown, Dublin 4",2 beds
"AMV €65,000 "," Building & Site, Annascaul, Kerry",1m 2
"€125,000"," Loughview Curnalee, Curraghboy, Roscommon",2 beds
"€175,000"," 33 Killarney Road, Castleisland, Kerry",3 beds
"€965,000"," 4 Bedroom Homes,Trimbleston,Goatstown Road,Dublin 14, Goatstown, Dublin",4 beds
"€3,000,000"," 4 Raglan Road, Ballsbridge,   Dublin 4",4 beds
"€1,950,000"," 7 Glenair Manor, Delgany, Wicklow",5 beds
"€550,000"," 10 Goose Green Court, Drumcondra, Dublin 9",3 beds
"€1,750,000"," 7 Eaton Place, Monkstown, County Dublin",4 beds
"€250,000"," Na Coilte, Kilmuckridge, Wexford",3 beds
"€400,000"," 56 West Road, East Wall, Dublin 3",2 beds
"€415,000"," Hyde Court, Park Road, Rush, County Dublin",4 beds
"€290,000"," Type A1, Dromdiah Park, Killeagh, Midleton, Cork",3 beds
"€650,000"," 210 Ashley Rise, Portmarnock, County Dublin",4 beds
"€245,000"," Tonacoolen, Headford, Galway",3 beds
"€40,000"," Glanduff,Attymachugh,Foxford,Co Mayo,F26 DE61",3 beds
"€285,000"," 50 Poplar Drive,Carraig an Aird,Six Cross Roads,Waterford,X91 V5DV",4 beds
"€109,000"," 23 (324) The Lodges,Ballykisteen,Co. Tipperary,E34 N564",2 beds
"€375,000"," 17 Ormond Way,Swords,Co Dublin,K67 T0A6",3 beds
"€230,000"," 86 Drominbeg,Rhebogue,Limerick,V94 W4CY",3 beds
"€460,000"," 204 Charlesland Park,Greystones,Co Wicklow,A63EC43",3 beds
"€300,000"," 22 Newhaven,Ardamine,Co. Wexford,Y25 W657",4 beds
"€395,000"," 16 The Park, Melrose Park, Kinsealy, Swords, County Dublin",3 beds
"€350,000"," 21 Supple Park,Dunshaughlin,Co Meath,A85 R791",3 beds
"€360,000"," 18 Supple Park,Dunshaughlin,Co Meath,A85 H282",3 beds
"€695,000"," Casablanca, Summerhill Road, Dunboyne, Meath",4 beds
"€450,000"," 75 Shanard Road, Santry, Dublin 9",3 beds
"€275,000"," 203 Castlecurragh Vale,Mulhuddart,Dublin 15,D15 A2C6",3 beds
"€370,000"," Hyde Court, Park Road, Rush, County Dublin",3 beds
"€525,000"," 22 Carriglea Downs, Firhouse, Dublin 24",3 beds
"€295,000"," The Blue House, Cooragurteen, Ballydehob,   West Cork",2 beds
"€285,000"," 38 Cois Na Mona, Coill Dubh, Naas, Co Kildare",3 beds
"€378,500"," Knockendrane, Garryhill, Co. Carlow",4 beds
"€160,000"," 60 O'Molloy Street, Tullamore, Co. Offaly",3 beds
"€260,000"," Duntourin, Arden Road, Tullamore, Co. Offaly",3 beds
"€825,000"," 47 Leopardstown Gardens, Blackrock, Co. Dublin",5 beds
"€1,250,000"," 22 Eglinton Park, Off Eglinton Road, Donnybrook, Dublin 4",4 beds
"€320,000"," 24 The Belfry, Kilbarrack Road, Dublin 5, Dublin",2 beds
"€300,000"," 90 Avondale Drive,Trim,Co Meath,C15 AY22",3 beds
"€175,000"," 8 Hillview Close, New Ross, Wexford",3 beds
"€295,000"," Kilcully, Ballyjamesduff, Cavan",4 beds
"€349,500"," Drumheel , Virginia, Cavan",5 beds
"€925,000"," 7 & 7A Serpentine Road,Sandymount,Dublin 4,D04 HK22",4 beds
"€1,050,000"," 28 Kenilworth Road,Rathgar,Dublin 6,D06 W2Y2",8 beds
"€395,000"," 10 Castlegrange Dale, Castaheany, Clonee, Dublin 15",4 beds
"€295,000"," 10 Hyacinth Street, North Strand, Dublin 3",1 bed
"€225,000"," 49 The Moorings, Skibbereen,   West Cork",3 beds
"€2,500,000"," Cambridge House, 15 Cambridge Road, Rathmines, Dublin 6",5 beds
"€275,000"," 101 Eallagh Headford Co Galway, Headford, Galway",4 beds
"€285,000"," 62 Old Balreask Woods,Navan,Co Meath,C15 V0PA",3 beds
"€795,000"," 15 Kincora Drive, Clontarf, Dublin 3",5 beds
"€175,000"," 78 Barrettstown Lawns,Roseberry,Newbridge,Co. Kildare,W12 YK77",3 beds
"€1,300,000"," 2 Grange Manor Road, Rathfarnham, Dublin 16",4 beds
"€350,000"," 27 South Bay, Rosslare Strand, Co. Wexford",4 beds
"€355,000"," 2 Bruach na hAbhann,Western Road,Clonakilty,Co Cork,P85 CK27",4 beds
"€230,000"," Hillview, Oldtown, Errill, Laois",3 beds
"€500,000"," 23 Boycetown Court,Kilcock,Co. Kildare,W23 R6N4",4 beds
"€695,000"," 49 Charleville Close, Rathmines, Dublin 6",2 beds
"€385,000"," Burnchurch, Killenaule, Co. Tipperary",3 beds
"€495,000"," 330 Nutgrove Avenue, Churchtown, Dublin 14",3 beds
"€895,000"," 1 Strand Mews, Lea Road, Sandymount, Dublin 4",3 beds
"€240,000"," 19 Hawthorns,Kinnegad,Co. Westmeath,N91 X778",3 beds
"€385,000"," New Haven 40 Clashduv Estate, Glasheen, Cork City",5 beds
"AMV €395,000 "," Rosebawn,Railway Road,Gorey,Co. Wexford,Y25 YE04",4 beds
"€980,000"," 15 Emerald Cottages, Ballsbridge, Dublin 4",3 beds
"€595,000"," 73 Ardmore Park, Bray, Co. Wicklow",4 beds
"€150,000"," 16 Spa Terrace, Mallow, Co. Cork",3 beds
"€135,000"," 1 Egmont Court, Kanturk, Co. Cork",3 beds
"€495,000"," 7 The Drive, Ocean Links, Strandhill, Sligo",4 beds
"€420,000"," 1 The Pines, Ballinakill Downs, Waterford City, Co. Waterford",4 beds
"€325,000"," 8 The Mall, Sligo City, Sligo",4 beds
"€625,000"," Rose Cottage, 10 Rochestown Ave, Dun Laoghaire, Co. Dublin",3 beds
"€525,000"," Footprints, Lower Killeens, Killeens, Cork",4 beds
"€270,000"," Monaco House, New Road, Ennis, Clare",5 beds
"€395,000"," Kingstwon, Kingston, Galway",3 beds
"€795,000"," 164 Lower Kimmage Road, Harold's Cross, Dublin 6W",3 beds
"€215,000"," 19 Wood Green, Dromahair, Leitrim",4 beds
"€315,000"," 25 Liffey Court, Liffey Valley Park, Lucan, Dublin",3 beds
"€950,000"," 12 Heytesbury Street, Portobello, Dublin 8",5 beds
"€215,000"," 23 Wood Green, Forest Park, Dromahair, Leitrim",5 beds
"€3,250,000"," Azalea, 139 Stillorgan Road, Donnybrook, Dublin 4",5 beds
"€525,000"," Rackenstown,Dunshaughlin,Co Meath,A85 W088",4 beds
"€220,000"," 127 High Meadows, Gouldavoher, Raheen, Limerick City",3 beds
"€199,000"," 8 Wood Green, Forest Park, Dromahair, Leitrim",4 beds
"€215,000"," 26 Wood Green, Forest Park, Dromahair, Leitrim",4 beds
"€295,000"," No. 4 Portside, Rosslare, Wexford",4 beds
"AMV €165,000 "," Hilltown Cottage, Tacumshane, Wexford",3 beds
"€195,000"," 301 Old Crobally Road, Tramore, Waterford",4 baths
"€210,000"," 9 St Mary's Road, Dundalk, Co. Louth",3 beds
"€345,000"," 21 Maple Lawns,Oldtown Demesne,Naas,Co. Kildare,WP1 P20V",3 beds
"€350,000"," 21 Fairyhill, Bray, Wicklow",3 beds
"€245,000"," 42 Westpark, Blessington, Wicklow",2 beds
"€465,000"," Barony Grove,Killinagh Upper,Carbury,Nr. Allenwood,Co Kildare.",4 beds
"€250,000"," 16 St Marks Crescent, Dublin 22, Clondalkin",3 beds
"€645,000"," 55 The Avenue, Scholarstown Wood, Rathfarnham, Dublin 14",4 beds
"€600,000"," 60 Kings Channel,, Waterford City, Waterford",4 beds
"€219,000"," 86 Ballyfermot Drive, Ballyfermot, Dublin 10",2 beds
"€395,000"," Russellstown New, Clonmel, Kilmanahan, Co. Waterford",4 beds
"€217,500"," 55 The Close, Drummin Village, Nenagh, Tipperary",4 beds
"€108,000"," 7 Carrowkibbock Lower, Ballycastle, Mayo",3 beds
"€240,000"," 15 North Street, Skibbereen, Cork",2 beds
"€285,000"," 18 Silverstream Park, Stamullen, Meath",3 beds
"€450,000"," 25 Ashington Dale, Navan Road, Dublin",3 beds
"€278,000"," Ballyvadlea, Drangan, Tipperary",5 beds
"€274,950"," 2 Tolka Valley View, Finglas, Dublin 11",3 beds
"€574,950"," 22 Cedarwood Avenue, Glasnevin,   Dublin 11",4 beds
"€360,000"," 14, Tibradden Grove, Greenpark, Walkinstown, Dublin 12",3 beds
"€140,000"," Dun Bué­ 14 Caheronaun Park, Loughrea, Galway",4 beds
"€210,000"," Upper Ferefad, Longford, Longford",5 beds
"€325,000"," 53 Lioscian, Rathbeale Road, Swords,   County Dublin",3 beds
"€350,000"," 37 Delhurst Mews, Ongar,   Dublin 15",4 beds
"€1,450,000"," Ard Mor, 31 Granville Park, Blackrock, Co. Dublin",4 beds
"€875,000"," Green Ivies , Howth, Dublin",4 beds
"€335,000"," 106 Mangerton Road, Drimnagh,   Dublin 12",3 beds
"€405,000"," Kilberry, Navan, Meath",4 beds
"€410,000"," 10 Temple Woods, Greenhills Road, Tallaght, Dublin 24",3 beds
"€359,000"," 5 Elder Heath Meadow, Kiltipper Road, Dublin 24, Dublin",3 beds
"€400,000"," 75 The Wavering, Blainroe, Wicklow",4 beds
"€325,000"," 12 Courtown Park, Kilcock, Co. Kildare",4 beds
"€525,000"," 18 Castlebrook, Dundrum, Dublin 16",3 beds
"€230,000"," 3 Millfield Manor, Newbridge, Kildare",3 beds
"€345,000"," 48 Aylmer Park, Naas, Co Kildare",3 beds
"€495,000"," 49 Burnell Park Avenue,Castleknock,Dublin 15,D15 E62C",3 beds
"€210,000"," 30 Saint Bridgets Terrace, Prospect Hill, Co. Galway",3 beds
"€355,000"," 10 Ashburton Hill,Montenotte,Cork,T23 X76N",3 beds
"€525,000"," 63 Straffan Gate, Straffan, Co Kildare",4 beds
"€650,000"," Residential House and c 36.5 Acres @ Loughview Curnalee Athlone, Curraghboy, Roscommon",4 beds
"€625,000"," Littlefields, Swords, Co. Dublin",4 beds
"€920,000"," Castlefield Manor, Malahide, County Dublin",5 beds
"€200,000"," Newtown,Kilkee,Co. Clare,V15 FX49",4 beds
"€495,000"," 1 Muckross Crescent, Perrystown, Dublin 12",3 beds
"€895,000"," 9 Farmleigh Avenue,Blackrock,Co. Dublin,A94 HF82",4 beds
"€775,000"," 53 Cedarmount Road,Mount Merrion,Co Dublin,A94 E8C5",3 beds
"€1,200,000"," Aeolus, Kinsealy Lane, Malahide, Dublin, K36CX36",4 beds
"€215,000"," 12 Plunkett Avenue, Mervue, Galway",1 bed
"€275,000"," 50 Bunratty Road, Coolock, Dublin",3 beds
"€790,000"," Avondoon, 49 Yellow Walls Road, Malahide, Dublin",3 beds
"€325,000"," 37 Wicklow Heights, Wicklow Town, Wicklow",3 beds
"€249,000"," Miskawn Glebe, Aughnasheelin, Co Leitrim N41 K728",4 beds
"€1,500,000"," Simla Lodge, Strandville Avenue East, Clontarf, Dublin 3",5 beds
"€195,000"," 92 Mulkear View, Newport, Co. Tipperary",3 beds
"€265,000"," 74 Brackinrainey Manor, Longwood, Meath",4 beds
"€640,000"," 13 Diswellstown Grove, Castleknock, Dublin 15",3 beds
"€275,000"," 44 Ounavarra Park, Ballycanew, Gorey, Wexford",4 beds
"€595,000"," 55 Carrigeenlea, Tramore, Waterford",5 beds
"€120,000"," 55 Carrigbawn, Bunclody, Wexford",4 beds
"€189,000"," Griffins Cross,Rockstown, Grange, Limerick",3 beds
"€200,000"," 14 Blaeberry Walk, Castleblayney, Monaghan",3 beds
"€145,000"," 19 Henry St, Waterford City, Waterford",2 beds
"€165,000"," No. 5 Stracomer View, finner road, Bundoran, Donegal",3 beds
"€360,000"," 3 The Park, Newtown Manor, Kill, Kildare",3 beds
"€350,000"," 7 Pembroke Cottages, Main Street, Dundrum, Dublin 14",2 beds
"€175,000"," Tullytreane,Crosskeys,Co. Cavan,H12 C446",3 beds
"€250,000"," 23 Liffey Hall, Liffey Valley Park, Lucan, Co. Dublin",2 beds
"€450,000"," 61 CHURCH AVENUE, Drumcondra, Dublin 9",2 beds
"€380,000"," 36 Glencairn, Caherslee, Tralee, Kerry",4 beds
"€395,000"," Bishopswood, Portarlington, Laois, R32R6K6",4 beds
"€377,500"," Hyde Court, Park Road, Rush, County Dublin",3 beds
"€545,000"," 5 Belarmine Close, Stepaside, Dublin 18",4 beds
"€580,000"," 6 Woodgrove, Forest Road, Carrigaline, Cork",4 beds
"€315,000"," 7 Broombridge Road, Cabra, Dublin 7",2 beds
"€289,000"," 22 Dunard Drive, Navan Road, Dublin 7",3 beds
