prices,Address,Beds
"€300,000"," Rose Cottage, Ballykillavane, Glenealy, Wicklow",2 beds
"€489,000"," 52 Kilheale Drive ""The Oaks"", Kill, Kildare",4 beds
"€214,950"," 21 An Glasan, Greenville, Enniscorthy, Co. Wexford",3 beds
"€650,000"," 20 Cypress Park, Templeogue, Dublin 6W",4 beds
"€395,000"," 65 The Elms, Newbridge, Kildare",4 beds
"€280,000"," Knockane, Ballyclough, Mallow, Cork",4 beds
"€495,000"," 1A Lomond Ave, Fairview, Dublin 3",3 beds
"€175,000"," 1 Coolreagh, Killanny, Carrickmacross, Monaghan",3 beds
"€220,000"," 44 Belvedere Hills, Mullingar, Westmeath",4 beds
"€360,000"," 4 Drynam Walk, Drynam Hall, Kinsealy, Dublin",3 beds
"€550,000"," Glendown, Dooneen, Kilmeaden, Waterford",5 beds
"€289,950"," 48 Canterbrook, Navan, Meath",3 beds
"€625,000"," Chapelfield, Kilbride, Meath",336.31m 2
"€280,000"," 8 Gracemeadow Walk, Balbriggan, Dublin",3 beds
"€530,000"," Greybrook, Silversprings Road, Tivoli, Cork",7 beds
"€200,000"," 2 Station Road, Kildare Town, Kildare",3 beds
"AMV €260,000 "," 9 Lough Sillan Lodge,Shercock,Co. Cavan,A81 KW58",6 beds
"€230,000"," 16 Spireview Rise, Johnstown, Navan, Meath",2 beds
"€425,000"," 15 GROVE PARK ROAD, Glasnevin, Dublin 11",3 beds
"€210,000"," 32 Tir an Choir, Tuam, Galway",3 beds
"€425,000"," 10 Walkinstown Road, Walkinstown, Dublin 12",3 beds
"€135,000"," 3 North Cross Lane, Youghal, East Cork",2 beds
"€320,000"," 27 Castleland Park Drive , Balbriggan, Dublin",3 beds
"€299,000"," 2 Park Avenue, Wexford Road, Arklow, Wicklow",4 beds
"€1,050,000"," 3 Oulton Road, Clontarf, Dublin 3",3 beds
"€320,000"," 8 Glin Park , Coolock, Dublin 17",3 beds
"€198,000"," Mullaghmore, Bawnboy, Co Cavan, H14 PX70",4 beds
"€365,000"," 59 Stonebridge, Ratoath, Co Meath, A85 NC59.",3 beds
"€1,200,000"," 3b Durham Road, Sandymount, Dublin 4",4 beds
"€395,000"," 17 Meath Place, South City Centre, Dublin 8",2 beds
"€110,000"," 84 Woodstream,Coolaney,Co. Sligo,F56CY65",2 beds
"€165,000"," 64 Ossory Park, Kilkenny, Kilkenny",3 beds
"€440,000"," 42 Gracefield Road, Artane, Dublin 3, Dublin",4 beds
"€320,000"," 24 Monalee Manor, Ballymoneen Road, Knocknacarra, Galway City",3 beds
"€675,000"," 28 Springfield Crescent, Templeogue D6WHF89, Templeogue, Dublin 6W",3 beds
"€385,000"," 132 Leargan, WDR, Knocknacarra, Galway City",4 beds
"€145,000"," Aghaloonteen, Lahardane, Ballina, Mayo",2 beds
"€280,000"," 20 Finglaswood Road, Finglas, Dublin 11",3 beds
"€490,000"," 22 Grattan Hill , St. Luke's, Cork City, Cork",3 beds
"€385,000"," 35 Clonliffe Gardens, Drumcondra, Dublin 3 D03 DW08",3 beds
"€795,000"," Curraghtemple, Nenagh, Tipperary, E45 W562",5 beds
"€320,000"," 29 An Gleib,Ballivor,Co Meath,C15 C7D7",4 beds
"€1,095,000"," 44 Ormond Road,Rathmines,Dublin 6,DO6R5T8",4 beds
"€395,000"," ""Aisling"", Skevanish, Innishannon, Cork",4 beds
"€189,950"," 20 Stoneyford Park, Delvin, Westmeath",3 beds
"€240,000"," 36 Pococke Upper, Johnswell Road, Kilkenny, Kilkenny",3 beds
"€180,000"," No 15 Fair Fields, The Close, Adamstown, Wexford",3 beds
"€1,000,000"," The Old Rectory Site,Coolgreany Road,Lamberton,Arklow,Co. Wicklow",5 beds
"€795,000"," ""Riverview"", Lower Kensington, Coach Hill, Rochestown, Cork, Rochestown, Cork City",4 beds
"€439,500"," 64a Forest Avenue, Kingswood, Dublin 24",4 beds
"€495,000"," Blue Haze 22 Main Road, Tallaght, Dublin",3 beds
"€295,000"," 4 Red Abbey Court, Margaret Street, Cork City, Cork",3 beds
"€210,000"," 31 Beechwood Gardens, Newcastle West, Limerick",4 beds
"€79,950"," Ardlougher,Carrick On Shannon,Co Leitrim,N41 Y6D0",2 beds
"€875,000"," 13 Longwood, Clonskeagh, Dublin 14",4 beds
"€475,000"," 17 Luttrellstown Oaks, Castleknock,   Dublin 15",3 beds
"€199,000"," Aghaboneill, Gorvagh, Leitrim",3 beds
"€299,000"," 16 Holywell Avenue, Swords, County Dublin",2 beds
"€575,000"," Moyville Cottage,Blacklion,Greystones,Co Wicklow,A63XK85",3 beds
"€825,000"," 25 Mulgrave Street, Dun Laoghaire, Dublin",7 beds
"€235,000"," 73 Knockmoyle, Tralee, Kerry",3 beds
"€137,500"," 1 Water Court, Water Street, Castlepollard",3 beds
"€630,000"," 84 Abbeyfield, Killester, Dublin 5",2 beds
"€699,500"," Castledonovan, Drimoleague, West Cork",7 beds
"€450,000"," 77 Forest Drive, Kingswood, Dublin 24",5 beds
"€245,000"," 47 Harbour Row, Cobh, Cork",3 beds
"€325,000"," 121 Cromcastle Road, Coolock, Kilmore, Dublin 5, Kilmore, Dublin 5",4 beds
"€425,000"," Ballinamore,Kiltimagh,Co Mayo,F12ND29",5 beds
"€240,000"," 4 Monivea Park, Ballybane, Galway City",3 beds
"€450,000"," 7 Thirlestane Terrace, Thomas Court, The Liberties, Dublin 8, Dublin",4 beds
"€525,000"," 8 Thirlestane Terrace, Thomas Court, The Liberties, Dublin 8, Dublin",3 beds
"€375,000"," 14 Fernley Court, Long Lane, Dublin 8, Dublin",2 beds
"€350,000"," 6 Harty Place, D08, Portobello, Dublin 8",1 bed
"€450,000"," 4 Reuben Avenue, D08, Rialto, Dublin 8",3 beds
"€215,000"," 3 Fitzgerald Place, Rosbrien Road, Limerick City, Limerick",3 beds
"€170,000"," 12 Abhann Dubh, Portarlington, Laois",2 beds
"AMV €175,000 "," Cross Street, Loughrea, Co. Galway",3 beds
"AMV €350,000 "," Currahally, Farnanes, Co. Cork",5 beds
"€585,000"," 3 Richmond Lane, Off Richmond Hill, Rathmines, Dublin 6",3 beds
"€399,950"," 6 Mc Dowell Avenue, Mount Brown, Dublin 8, Dublin",2 beds
"€475,000"," 22 Russell Avenue , Drumcondra, Dublin 3",2 beds
"€350,000"," The Old Post Office, Church Cross, Skibbereen,   West Cork",3 beds
"€550,000"," 7 Oxford Terrace, Hawthorn Terrace, East Wall, Dublin 3",3 beds
"€179,500"," 6 New Terrace, Abbeyleix, Laois",2 beds
"€580,000"," 30 Seabury Avenue, Malahide, County Dublin",3 beds
"€485,000"," 10 Dawson Court, Cross Avenue, Blackrock, Co. Dublin",2 beds
"€1,795,000"," Fairfield Villa, 20 Fairfield Park, Rathgar, Dublin 6",5 beds
"€1,295,000"," 183 Rathmines Road Upper, Rathmines, Dublin 6",5 beds
"€450,000"," 336 South Circular Road, South Circular Road, Dublin 8",3 beds
"€310,000"," 2 Fisherman`s Rest, Higher O`Connell Street, Kinsale, Co. Cork",3 beds
"€995,000"," 13 Clonkeen Road, Deansgrange, Blackrock, County Dublin",4 beds
"€120,000"," 31 Dean's Lane,Tralee,Co. Kerry,V92 D6DP",2 beds
"€395,000"," 24 Synnott Row,Phibsborough,Dublin 7,D07 T280",3 beds
"€220,000"," Drumully,Emyvale,Monaghan,H18Y970",4 beds
"€395,000"," Avondale,Betaghstown,Clane,Co Kildare,W91E8W6",4 beds
"€185,000"," Braide, Glencolmcille, Donegal",4 beds
"€450,000"," Thatched Cottage,Derreendrislagh,Gleesk,Sneem,Co Kerry",4 beds
"€1,035,000"," 2 The Avenue, Cypress Downs, Templeogue, Dublin 6W",4 beds
"€1,350,000"," 3 Bedroom House,Annesley Gardens,Ranelagh,Dublin 6",3 beds
"€2,500,000"," The Charleston Town Homes - 56-59 Charleston Road, Ranelagh, Dublin 6, Ranelagh,   Dublin 6",4 beds
"€240,000"," 17 Caiseal Na Ri,Golden Road,Cashel",3 beds
"€139,000"," 52 An Duiche,Tipperary,Co. Tipperary,E34 C568",3 beds
"€695,000"," 47 Belarmine Drive,Belarmine Woods,Stepaside,Dublin 18,D18 VFE8",4 beds
"€450,000"," 123 Drimnagh Road, Walkinstown, Dublin 12",3 beds
"€95,000"," 17 Chapel Lane,Cashel,Tipperary,E25 A393",2 beds
"€775,000"," 13 Hermitage View,Rathfarnham,Dublin 16,D16 W727",4 beds
"€935,000"," The Shelby, The Gallops, Clonee, Dublin 15",5 beds
"€249,000"," 8 Laragh Beg,Ballon,Co Carlow,R93 HX45",4 beds
"€345,000"," 40 Cedar Avenue, Ridgewood, Swords, Co. Dublin",3 beds
"€550,000"," 2 Grove Village, Grove Road , Rathmines, Dublin 6",2 beds
"€285,000"," 25 Racefield, Gouldavoher, Co. Limerick",4 beds
"€235,000"," 9 Cherry Garth,Brecan Close,Balbriggan,Co. Dublin,K32 YY40",2 beds
"€525,000"," 83 Collins Avenue, Whitehall, Dublin 9",3 beds
"€299,000"," 53 Castle Park, D24, Tallaght, Dublin 24",3 beds
"€249,000"," 5 Millrace, Bealnamulla, Athlone, ., Co. Roscommon",4 beds
"€195,000"," 29 Woodlands, Virginia Road, Ballyjamesduff, Co. Cavan",4 beds
"€395,000"," 113 Sugarloaf Crescent, Bray, Co. Wicklow",3 beds
"€425,000"," 12 Elgin Heights, Bray, Co. Wicklow",3 beds
"€295,000"," 10 Woodlands, Clonsilla, Dublin 15",3 beds
"€300,000"," 6 Brookhurst,Collins Avenue,Dunmore Road,Waterford,X91 Y7R0",3 beds
"€1,150,000"," 85 Lower Churchtown Road, Churchtown, Dublin 14",4 beds
"€189,500"," 3 The Orchard,Rathvilly,Co. Carlow,R93 D436",3 beds
"€239,000"," Ard Luma, Drummond Otra, Carrickmacross, Co. Monaghan",4 beds
"€295,000"," Graigue,Ardfert,Co. Kerry,V92PF24",5 beds
"€575,000"," 69 Glasnevin Avenue, Glasnevin Nth, Dublin 11",3 beds
